material_id,formula,bl_mean,bl_min,bl_max,bl_std,coord_num,bandwidth_W,uw_ratio,distortion,frac_octahedral,n_tm_sites,d_count_mean,d_count_std,total_magnetization,num_magnetic_sites,is_magnetic,formation_energy_per_atom,energy_above_hull,nsites,volume_per_atom,density,nelements,band_gap,efermi
mp-chlqr,TiO2,1.9802887047080062,1.8169041871091611,2.2417693516769597,0.11407617099901751,5.666666666666667,2.9078013116454575,,0.05944701256864875,0.8333333333333334,12,0.0,0.0,0.009156,0,0,-3.330270766666665,0.17778468527777802,36,12.776915129831828,3.459893086806675,2,1.7851,3.05250813
mp-danxv,TiO2,1.9905222424881523,1.8308287158881076,2.2233586650642216,0.10188374727084437,5.833333333333333,2.964473028887259,,0.05028158001519711,0.9166666666666666,12,0.0,0.0,0.0001739,0,0,-3.33056498861111,0.17749046333333302,36,12.892621286613764,3.428841920170264,2,1.7183000000000002,2.7540098
mp-wz,TiNi,2.5978664999146877,2.4218223539999997,2.697256768472459,0.06555178698038502,7.0,2.0814233740750385,2.8888032185324044,0.014732847976392419,0.16666666666666666,18,4.0,4.0,2.4006454,7,1,-0.37315426499999904,0.022700761666666,18,13.636594798936565,6.487972611986743,2,0.0,7.06461834
mp-crfze,TiS2,2.4197636155071076,2.2585391696857418,2.6128048323313093,0.12854343752756237,5.5,1.8831489402194643,,0.055283917265214776,0.75,4,0.0,0.0,0.0001484,0,0,-1.439357274444443,0.16815663833333303,12,21.774845023664557,2.846945541057199,2,0.7773000000000001,2.90252011
mp-dcdgv,TiO2,1.9706113602686468,1.8232918951326953,2.134234640701829,0.11642048410195445,5.5,2.844101209694717,,0.060700275321410695,0.75,4,0.0,0.0,0.0001873,0,0,-3.320584981944444,0.187470469999999,12,12.45682038343538,3.5487996910676562,2,2.4461,1.46684561
mp-bwxa,TiN,2.122409050421899,1.9060067682255424,2.319808758302286,0.01331199242331915,5.863636363636363,2.603594966800179,,0.006476937691868001,0.9545454545454546,22,0.0,0.0,0.5771385,1,1,-1.868185526571967,0.074481756136364,44,10.923920539654834,4.702693308328239,2,0.0,7.3072612
mp-bghhi,TiCl3,2.4283862756053476,2.4283839221052217,2.4283889391419033,2.0598958228969993e-06,6.0,2.0349123455241145,,7.312226454629164e-07,1.0,2,0.0,0.0,1.9999436,2,1,-1.778813748541647,0.028367999999999,8,25.902290048582646,2.471772742922638,2,0.0,2.33881471
mp-bghgk,TiCl3,2.4279051059115675,2.427449803945941,2.4283578707410647,1.0454009404990555e-06,6.0,2.035719208129449,,3.6667053905185926e-07,1.0,4,0.0,0.0,4.0299475,4,1,-1.779151604166648,0.028030144375000003,16,25.38772027078649,2.521871748958713,2,0.0,2.47216596
mp-ckrcc,TiS2,2.4296522202122346,2.428087441084367,2.4304640202154717,0.0007721703045310366,6.0,2.032793622167228,,0.0003178551598878041,1.0,3,0.0,0.0,0.033517399999999004,0,0,-1.605192267222221,0.0023216455555550002,9,22.72259428511278,2.7282007137692332,2,0.0,3.05828311
mp-dey,TiS2,2.4244389942998024,2.422943642415115,2.4259121824281653,0.0008101127679428945,6.0,2.0415447551007397,,0.0003192572844847431,1.0,3,0.0,0.0,0.0,0,0,-1.607513912777776,0.0,9,20.385126383479825,3.041030836952365,2,0.0,4.02478583
