material_id,formula,bl_mean,bl_min,bl_max,bl_std,coord_num,bandwidth_W,uw_ratio,distortion,frac_octahedral,n_tm_sites,total_magnetization,num_magnetic_sites,is_magnetic,formation_energy_per_atom,energy_above_hull,nsites,volume_per_atom,density,nelements,band_gap,efermi,is_mott,is_mott_uw
mp-qrv,TiBe,2.5368157306928603,2.5368157306928603,2.5368157306928603,0.0,8.0,2.48623478571638,,,0.0,1,5.9e-06,0,0,-0.140298169166666,0.005038837916666,2,12.567383715933724,3.75774727350378,2,0.0,5.08191279,0,0
mp-qvc,TiCu,2.6648883392044778,2.6648883392044778,2.6648883392044778,0.0,8.0,2.253003932119283,,,0.0,2,0.9171828,2,1,-0.055840630833332,0.0826696,2,14.568510747837536,6.349504154176052,2,0.0,6.48252001,0,0
mp-rct,TiRh,2.697844069920091,2.697844069920091,2.697844069920091,0.0,8.0,2.198296625633492,,,0.0,2,0.0055001,0,0,-0.7212554266666671,0.020116699999999,2,15.115713205335812,8.281568425450502,2,0.0,7.01431527,0,0
mp-rdd,TiTc,2.679891744350817,2.679891744350817,2.679891744350817,0.0,8.0,2.2278476112567667,,,0.0,1,5.799999999999999e-06,0,0,-0.518699978333334,0.0,2,14.815962213881612,8.174219417244446,2,0.0,7.27915722,0,0
mp-dfv,TiRe,2.691676990436439,2.6916769904364393,2.6916769904364393,4.440892098500626e-16,8.0,2.208381491550023,,,0.0,1,1.8e-06,0,0,-0.448716374583327,0.0,2,15.012289652031066,12.945694177394891,2,0.0,6.8118634,0,0
mp-jm,TiF3,1.959970180537172,1.9598354576780217,1.9601048794813736,9.973990176594541e-08,6.0,3.123793553303156,,4.54918435103507e-08,1.0,2,2.0000001,1,1,-3.669544359583334,0.0,8,15.05576360208292,2.891381006186685,2,0.0,1.80170363,0,0
mp-lf,TiOs,2.67137085112095,2.6713708511209497,2.6713708511209497,4.440892098500626e-16,8.0,2.242082645030272,,,0.0,2,3.55e-05,0,0,-0.8292994383333291,0.0,2,14.675086091465538,13.47076833744068,2,0.0,7.90417175,0,0
mp-lt,TiFe,2.5449721484712913,2.544972148471291,2.544972148471291,4.440892098500626e-16,8.0,2.4703239838949957,2.1454675720888288,,0.0,2,1.699999999999999e-06,0,0,-0.420830151666665,0.0,2,12.688994552005989,6.786110080250348,2,0.0,6.68669165,0,1
mp-vz,TiNi,2.587741176767855,2.587741176767855,2.587741176767855,0.0,8.0,2.3893419586371345,2.594856704201705,,0.0,2,0.000481,0,0,-0.347360651666666,0.048494374999999,2,13.339532782844802,6.632455200383208,2,0.0,7.34818853,0,1
mp-wu,TiRu,2.6583256073548536,2.6583256073548536,2.6583256073548536,0.0,8.0,2.2641418543452456,,,0.0,2,1.8e-06,0,0,-0.8397397358333331,0.0,2,14.461143432258648,8.551042596345251,2,0.0,7.89910168,0,0
